day,symbol,contract_address,deposits_volume,borrows_volume
2023-04-04,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,17608.57657618445,0.0
2023-04-22,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,5887.758616403565,0.0
2023-04-09,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0.543215315375666,0.0
2023-03-29,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,586756.2720516825,0.0
2023-06-24,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,548217.7856022575,0.0
2023-05-21,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,10281.250000000022,0.0
2023-03-14,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1519.939897767024,0.0
2023-04-14,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,60179.7801449851,0.0
2023-04-11,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.19655629975337036,0.0
2023-02-10,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,57355.38376622769,0.0
2023-03-16,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,496.1705172002344,0.0
2023-02-27,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,107309.03137983245,0.0
2023-02-05,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,137191.70555551403,0.0
2023-03-08,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,33578.223032467475,0.0
2023-04-27,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,35708.02101931239,0.0
2023-05-28,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.17444209795343765,0.0
2023-04-12,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.9375636321640496,0.0
2023-03-01,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,154.7996898656909,0.0
2023-04-03,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1.0792461111111111,0.0
2023-04-04,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,628.7993453555346,0.0
2023-05-04,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2088.766343328346,0.0
2023-01-21,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.016367304511675118,0.0
2023-03-17,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,46279.71919959714,0.0
2023-03-18,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,251637.8599075305,0.0
2023-02-09,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,67807.41577065234,0.0
2023-03-25,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0.4019413541666665,0.0
2023-06-14,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1930.1244791666697,0.0
2023-01-25,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,744270.5397482393,0.0
2023-06-01,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,4031.875370477646,0.0
2023-03-12,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,534.0837364387064,0.0
2023-03-13,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,4557.922048611118,0.0
2023-03-11,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1269057.0613215866,0.0
