date,price,market_cap,volumes_last_24h,token
2019-09-14,1.58315031,576664846.9965696,131122480.77513872,LINK
2019-09-15,1.57481651,574596429.3586135,143880661.9207158,LINK
2019-09-16,1.61313353,587613800.0135245,132859997.0490609,LINK
2019-09-17,1.57871087,574736507.0755576,173033828.07158342,LINK
2019-09-18,1.62331594,591579320.0709141,206636544.3596008,LINK
2019-09-19,1.7997825,655944090.4230369,213599254.15974548,LINK
2019-09-20,1.86810854,679978559.2465925,146550660.6477437,LINK
2019-09-21,1.82087601,663172885.6272845,108507196.42486748,LINK
2019-09-22,1.87706357,682306339.3447282,96749663.28880568,LINK
2019-09-23,1.80963465,659661686.0697747,109403308.56472254,LINK
2019-09-24,1.79769592,654948073.4817252,145970463.21392316,LINK
2019-09-25,1.74907712,636656135.789622,195912825.1065894,LINK
2019-09-26,1.74922793,637761600.7432938,160917205.98746243,LINK
2019-09-27,1.65577716,603467397.1132222,100778569.54669066,LINK
2019-09-28,1.6559585,603651978.1381924,88201053.50249419,LINK
2019-09-29,1.68376977,613581815.9978248,70910611.71148191,LINK
2019-09-30,1.70819284,622481817.4561609,80643391.92764445,LINK
2019-10-01,1.76289396,642277008.1484133,76298899.30981268,LINK
2019-10-02,2.01263898,731915073.6030097,93853682.58094399,LINK
2019-10-03,2.00695457,730780841.2550313,93479382.84486602,LINK
2019-10-04,1.99100558,726043940.967457,69790369.57773852,LINK
2019-10-05,1.9726559,719614704.9652423,68630622.77721755,LINK
2019-10-06,1.96911302,717052020.2319525,88614164.37560491,LINK
2019-10-07,2.17097195,791146907.2911249,110730196.53879546,LINK
2019-10-08,2.3933199,874000491.532922,180128158.23269367,LINK
2019-10-09,2.56764401,935640353.416624,194067133.89325127,LINK
2019-10-10,2.80403847,1021822655.8840833,287427169.60683805,LINK
2019-10-11,2.63372492,959701041.1501263,222955822.71367306,LINK
2019-10-12,2.74630133,1000144307.5426419,176507382.15186495,LINK
2019-10-13,2.59542981,945799459.1562763,108640970.68778369,LINK
2019-10-14,2.49585071,904141989.4228206,96648293.8336027,LINK
2019-10-15,2.53140157,922166541.5652193,103939116.59325312,LINK
2019-10-16,2.38506408,869073503.7668048,99529238.41236822,LINK
2019-10-17,2.37895481,866988547.4988369,154591133.71496406,LINK
2019-10-18,2.41873523,883624382.4405338,121855505.65225685,LINK
2019-10-19,2.3536572,857242298.8033023,92678687.01216316,LINK
2019-10-20,2.35235772,857603554.2415682,77623637.53222334,LINK
2019-10-21,2.43445283,885951374.7547858,71309008.82099083,LINK
2019-10-22,2.62707241,959153478.3958416,146725444.07313055,LINK
2019-10-23,2.60160213,948027436.6474934,161969392.00938296,LINK
2019-10-24,2.60816812,951626723.3361706,176861806.04688963,LINK
2019-10-25,2.73131769,995299775.3627183,148463405.29389355,LINK
2019-10-26,2.83515614,1033303571.9169567,174559448.04126856,LINK
2019-10-27,2.74712662,1001154112.2005275,198697521.85530895,LINK
2019-10-28,2.66407044,970812759.5212094,113867892.62621395,LINK
2019-10-29,2.65937361,970795011.6927832,146746462.07774058,LINK
2019-10-30,2.66433895,971277864.632447,100682387.00268303,LINK
2019-10-31,2.60655553,949990232.0785248,83838939.71268782,LINK
2019-11-01,2.72801091,995335912.4072121,101460866.48476239,LINK
2019-11-02,2.716441,989175883.4117053,106795357.66639252,LINK
2019-11-03,2.70299525,984375325.369,80082609.1820995,LINK
2019-11-04,2.66597075,971576917.089105,95099470.47552374,LINK
2019-11-05,2.67482051,975231800.362026,111104369.29775156,LINK
2019-11-06,2.6733368,974189511.3653294,100772721.62121472,LINK
2019-11-07,2.73356863,998557524.5481532,140238529.951948,LINK
2019-11-08,2.68181883,977240390.2891995,123017700.63890503,LINK
2019-11-09,2.71077702,987859368.8749717,115614212.50520045,LINK
2019-11-10,2.80002231,1019932092.6888973,135126440.36775213,LINK
2019-11-11,2.77789964,1012293209.432059,136053982.61994135,LINK
2019-11-12,2.74310756,999088666.3923352,86475106.54665841,LINK
2019-11-13,2.81820667,1027619215.2008848,144825283.82744503,LINK
2019-11-14,3.01224259,1096166535.5567608,164082239.6498993,LINK
2019-11-15,3.04842904,1112687351.3123026,205253047.48604363,LINK
2019-11-16,3.03428451,1100419484.5058737,144753470.02560496,LINK
2019-11-17,2.99417293,1090680057.598309,101992385.30681784,LINK
2019-11-18,2.90949928,1059153983.445467,97269974.88523552,LINK
2019-11-19,2.79427912,1019928280.2439531,116883898.08748244,LINK
2019-11-20,2.72301157,989707897.2525288,144213810.06842074,LINK
2019-11-21,2.6987655,984499936.2629921,154491666.25493258,LINK
2019-11-22,2.54839526,929124539.5686373,148715372.73632815,LINK
2019-11-23,2.3511526,856992524.6136677,200480833.88025987,LINK
2019-11-24,2.42110475,880809660.3625889,151124729.585144,LINK
2019-11-25,2.22300909,815888259.3631716,130109080.71895969,LINK
2019-11-26,2.26651156,826186080.7880704,144684977.2606094,LINK
2019-11-27,2.25659227,825455835.6420016,168192058.40821552,LINK
2019-11-28,2.22507252,810196822.9842099,158460417.59237522,LINK
2019-11-29,2.27318263,827321684.545289,138223396.8058061,LINK
2019-11-30,2.33613141,851157764.3945119,137618903.92352244,LINK
2019-12-01,2.23695266,815761033.0097276,110184326.83835182,LINK
2019-12-02,2.16348836,788735558.6745545,124021371.60736087,LINK
2019-12-03,2.09306923,762940907.8700391,109676833.27054988,LINK
2019-12-04,2.11884214,772975015.3862449,94714959.35522301,LINK
2019-12-05,2.0340319,742879833.0935522,140728122.64593935,LINK
2019-12-06,2.01358716,734511019.9803458,132552373.08342497,LINK
2019-12-07,2.07988868,756312035.0629821,117494923.88274297,LINK
2019-12-08,2.04146458,744279928.015491,74956628.55984211,LINK
