date,symbol,contract_address,avg_stableBorrowRate,avg_variableBorrowRate,avg_supplyRate,avg_liquidityIndex,avg_variableBorrowIndex
2023-09-22,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.08917946428179462,0.03917946428179464,0.027631799766563683,1.0204341628921965,1.0284743694051883
2023-12-03,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.09657311595071949,0.02700118116550361,0.017705988370811967,1.0165762542045562,1.030593869932888
2023-04-14,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.053980194009014375,0.03184155207211496,0.02053456589397817,1.0036342032538292,1.0060880410487154
2023-05-26,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.2233167984502715,0.12330439728797508,0.03784364302156438,1.0083579650156087,1.0232629622906078
2023-04-02,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.1948312072123389,0.07345461262159306,0.012767766948375489,1.0019203102366228,1.0055082737885122
2023-02-20,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.09466301623896087,0.03532986542701278,0.016021764219635037,1.0010600332075916,1.0023263611695792
2023-05-07,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.09886794470889747,0.03932454747345264,0.02065773477100864,1.0053628121803058,1.0105180007084003
2023-11-30,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.10323495744043476,0.013234957440434757,0.000957150179167312,1.0013613273657633,1.0071633415665
2023-02-19,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.090043581031058,4.358103105800109e-05,1.037835225091568e-08,1.000000201629534,1.0000029819395182
2023-05-08,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.09074133654791776,0.0007413365479177747,3.006957655156427e-06,1.0000019186929863,1.0001532924717826
2023-07-19,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.05732729233858723,0.04206304816239204,0.033898052844523276,1.010501047851766,1.0153421698301863
2023-12-16,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0980676398702821,0.028166439858405404,0.01900304621569913,1.0172997283092124,1.0316760071424087
2024-01-12,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07444250268492925,0.008252858677102425,0.0006191845720698813,1.0017895424765635,1.0122903676111417
2023-08-02,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.09733360026756964,0.0476748399118266,0.03390299509838543,1.0156019061408057,1.0216424556619776
2023-06-15,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.21444051247992096,0.06444051247992097,0.007693797248564862,1.0016369719566438,1.0087205393452539
2023-02-23,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09143022396826893,0.0014302239682689264,1.1598543291332596e-05,1.0000402527567116,1.0001887959671674
2023-05-26,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.09135182289563826,0.0013518228956382636,1.0372553226178604e-05,1.0000028904153981,1.0002304137190867
2023-08-15,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0996632613608822,0.08465329539171942,0.06942423509279712,1.0145916286781254,1.0203648431124295
2023-10-13,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07694787051928859,0.009684497439593468,0.0008448544501426301,1.0013912108711507,1.0096475119982964
2024-01-23,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.09598578873822004,0.005985788738220041,0.00019603886444289543,1.001473721252319,1.008772372732464
2023-06-12,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.28988601659686924,0.13988601659686922,0.053290376461550056,1.0013008761593125,1.0077275151709137
2023-05-09,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.05462568889411767,0.03700551115294134,0.024658060324100946,1.0045036575819277,1.0082383003532103
2024-01-19,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07538617783388085,0.0029344500631159065,1.0836534639972774e-05,1.0005266895473723,1.0039961743322017
2023-08-25,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07515054870561724,0.008657456403209864,0.0006747083076125962,1.0012748691045381,1.0083586164541436
2024-01-09,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.136062208927001,0.08754261794777517,0.07138984853078939,1.0379550811440137,1.051625423237389
2023-08-18,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.06725614476837767,0.052000327730546775,0.037470206117578654,1.0142038066042347,1.022256194004633
2023-09-19,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2647328874757623,0.1147328874757623,0.03370171599341062,1.0119577705610547,1.0404698135598778
2023-02-17,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.053828951528526944,0.030631612228215525,0.016931558531546587,1.0011973295402585,1.0020300439216678
2023-09-18,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2655901026343906,0.11559010263439064,0.034301218746684875,1.0118986866519357,1.04026421991968
2023-09-18,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.10882956545715566,0.018829565457155684,0.0019373783062247366,1.0005591297082714,1.0031670893548432
2023-12-26,KNC,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0.9872222787432681,0.8272222787432681,0.3872442020407155,1.0271493912761906,1.0529818284998793
2023-10-18,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07615619644932597,0.009232112256757697,0.0007670881440307789,1.001444462524123,1.0097807114719901
2023-07-05,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.08426946906506237,0.034269469065062355,0.021142136014847296,1.0125822976545866,1.017448461547695
2023-11-17,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09564887053601583,0.005648870536015837,0.0001641327806729621,1.0003519913271048,1.0040481269281274
2023-11-27,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0.09000000000000001,0.0,0.0,1.0,1.0
2023-07-15,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0912424120855113,0.04130705430134269,0.029547906980275946,1.0133705104996669,1.0186147987448793
2023-03-27,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0.0524673293309532,0.019738634647625472,0.00701309708524208,1.0026200544119996,1.0047883206498687
2023-04-14,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.18000000000000002,0.03,0.0,1.0,1.0
2023-10-10,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.10153082482305402,0.03185428358190132,0.020427670535489512,1.0137400950228508,1.0261346416954578
2023-06-26,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07583492975359263,0.0034392959727917337,2.7461104379670133e-05,1.0004577251350308,1.0017780030366288
2023-05-01,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.09073096120415197,0.000730961204151973,2.92292247415128e-06,1.0000018614609343,1.0001393479868395
2023-04-09,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.6404518386385651,0.5595422788267195,0.3350095384229837,1.0032577117009507,1.0085886078374604
2023-04-11,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09294191379962473,0.0029419137996247297,4.451073536163268e-05,1.0000439339205711,1.0004533829646995
2023-04-30,BAL,0xba100000625a3754423978a60c9317c58a424e3d,0.35574613162877317,0.16002229214014121,0.09511526956608211,1.0140842779837105,1.019339111283378
2023-06-30,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07627231992154673,0.0039313599117400755,4.791368075127456e-05,1.0004580585712486,1.00181456008837
2023-08-18,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2972333029936448,0.1472333029936448,0.060990068770991016,1.0078378979843094,1.0285246461890711
2023-01-30,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0.07743078696073015,0.0052346353308214055,0.000123147522576721,1.0001184763050277,1.000055373975757
2023-07-21,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.2112169695231449,0.10212969666550359,0.023941398162098677,1.0142625306890622,1.0423382030706332
2023-11-18,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2441771993416483,0.09417719934164831,0.020964454533041448,1.0180858746587331,1.0608166942690458
2023-12-26,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.22711387002829597,0.07711387002829595,0.012594919001672492,1.020847871816429,1.072113008126824
2023-03-21,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0.09225533607259483,0.0022553360725948326,2.6159407568398364e-05,1.000041959712721,1.0003066392898279
2023-09-21,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0.20660196333458042,0.09405343583551576,0.01957944867465017,1.0198052028255729,1.0628838503977969
2023-12-13,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.11832237498139721,0.10332155963010309,0.08469739104176394,1.0301765739993614,1.0396408907667298
2024-01-01,STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0.10652496981525397,0.003513445285136758,6.348495996848425e-05,1.0000033242973463,1.0001389111654375
2024-01-18,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.14528611964672947,0.09670623233680833,0.07900297071447657,1.0395891371349069,1.053659738335498
2023-07-11,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0870843208703447,0.03708432087034469,0.024754502872892357,1.0129746918158848,1.0180549079220191
2023-09-27,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0.08547318928937767,0.035473189289377656,0.022658013923779044,1.0207814826621846,1.0289962243584303
2023-12-09,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.2357507481806532,0.08575074818065317,0.016572983676156956,1.019665540269122,1.0671390334399515
2024-01-05,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.09293665645434959,0.024455659518044712,0.014560226360284204,1.0183027637914683,1.033206290584409
2023-05-27,cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0.09080896234103758,0.0008089623410375725,3.576557225083955e-06,1.0000029085770883,1.0002334543191589
2023-12-05,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.07950964811417988,0.011148370350959915,0.001118769225492395,1.0017131672692983,1.0114172032417683
