date,open,high,low,close,token
2023-07-23,2037.7062,2039.6894,2004.4933,2004.4933,RETH
2023-07-27,2035.9807,2035.9807,1994.1011,2018.055,RETH
2023-07-31,2005.796,2028.2764,2005.796,2010.3207,RETH
2023-08-03,2002.9334,2026.5075,1982.7279,1982.7279,RETH
2023-08-07,1980.9213,1981.95,1972.2886,1972.2886,RETH
2023-08-11,1976.1031,2017.8499,1976.1031,2010.7048,RETH
2023-08-15,2007.8056,2007.8056,1997.5415,2003.0993,RETH
2023-08-19,1986.0046,1986.0046,1810.3212,1810.3212,RETH
2023-08-23,1816.6783,1833.9171,1783.2113,1783.2113,RETH
2023-08-27,1826.1291,1826.1291,1785.7842,1785.7842,RETH
2023-08-31,1794.2746,1874.3172,1790.5889,1847.374,RETH
2023-09-03,1780.7278,1780.7278,1766.4083,1774.0973,RETH
2023-09-07,1774.0275,1774.0275,1766.4624,1767.0627,RETH
2023-09-11,1784.0599,1784.0599,1753.5417,1753.5417,RETH
2023-09-15,1678.9379,1764.618,1678.9379,1764.618,RETH
2023-09-19,1780.6977,1780.6977,1759.8966,1778.5634,RETH
2023-09-23,1783.9567,1783.9567,1721.5489,1730.9006,RETH
2023-09-27,1730.8124,1730.8124,1714.3317,1727.9524,RETH
2023-09-30,1733.3232,1811.4319,1733.3232,1811.4319,RETH
2023-10-03,1815.745,1880.3685,1810.3781,1810.3781,RETH
2023-10-07,1794.5514,1794.5514,1752.8285,1786.7038,RETH
2023-10-11,1772.3975,1772.3975,1701.1698,1701.1698,RETH
2023-10-15,1700.9566,1700.9566,1668.4462,1693.5853,RETH
2023-10-19,1692.5594,1742.7824,1692.5594,1696.1909,RETH
2023-10-23,1701.7853,1805.7049,1701.7853,1805.7049,RETH
2023-10-27,1915.4665,1958.1809,1915.4665,1958.1809,RETH
2023-10-31,1937.1152,1970.299,1933.5521,1970.299,RETH
2023-11-03,1971.1555,2011.7666,1971.1555,1979.4498,RETH
2023-11-07,2013.1614,2084.3809,2013.1614,2084.3809,RETH
2023-11-11,2063.1037,2316.2244,2063.1037,2268.6905,RETH
2023-11-15,2239.5187,2250.3512,2162.099,2162.099,RETH
2023-11-19,2240.4348,2240.4348,2128.0925,2141.2526,RETH
2023-11-23,2196.2641,2255.4533,2125.1486,2255.4533,RETH
2023-11-27,2253.2028,2272.8337,2253.2028,2254.0176,RETH
2023-11-30,2216.344,2240.1375,2216.344,2218.1097,RETH
2023-12-03,2244.2992,2369.0299,2244.2992,2369.0299,RETH
2023-12-07,2395.5456,2506.1029,2395.5456,2441.3241,RETH
2023-12-11,2577.4366,2583.0319,2558.0641,2572.9654,RETH
2023-12-15,2432.3702,2534.0359,2405.4769,2534.0359,RETH
2023-12-19,2427.6387,2438.0894,2406.3884,2424.0919,RETH
2023-12-23,2383.6836,2549.4197,2383.6836,2549.4197,RETH
2023-12-27,2541.6968,2541.6968,2447.765,2447.765,RETH
2023-12-31,2608.4089,2608.4089,2520.481,2520.481,RETH
2024-01-03,2504.0914,2596.9144,2504.0914,2596.9144,RETH
2024-01-07,2427.1047,2499.8094,2427.1047,2462.3824,RETH
2024-01-11,2441.0549,2848.5549,2441.0549,2848.5549,RETH
2024-01-15,2874.0903,2874.0903,2716.3958,2716.3958,RETH
2024-01-19,2754.5903,2839.4827,2700.2368,2700.2368,RETH
2024-01-23,2728.51,2728.51,2691.9868,2691.9868,RETH
2020-07-19,790.9371,790.9371,790.9371,790.9371,YFI
2020-07-23,1082.6531,1193.3608,887.1003,1193.3608,YFI
2020-07-27,1857.1836,3401.358,1857.1836,3149.9605,YFI
2020-07-31,2925.3409,4483.941,2925.3409,4367.8821,YFI
2020-08-03,4128.2078,4128.2078,3863.416,4063.5313,YFI
2020-08-07,3793.0337,4867.842,3697.1887,4867.842,YFI
2020-08-11,4252.7234,6330.4797,4106.8615,6330.4797,YFI
2020-08-15,5995.4869,5995.4869,5014.2313,5014.2313,YFI
2020-08-19,5295.2091,9681.3528,5295.2091,9681.3528,YFI
2020-08-23,12501.729,15120.2625,12190.0038,14044.9246,YFI
2020-08-27,12452.2038,15506.2604,12452.2038,15506.2604,YFI
2020-08-31,14173.4705,31909.648,14173.4705,31909.648,YFI
2020-09-03,35059.6803,35059.6803,31814.8889,31814.8889,YFI
2020-09-07,29577.3734,29577.3734,22122.4974,24027.5357,YFI
2020-09-11,22843.0288,33670.0291,22384.2677,33670.0291,YFI
2020-09-15,37822.685,43337.704,36727.6758,39549.5166,YFI
2020-09-19,35914.1017,35914.1017,33018.0516,33029.9957,YFI
2020-09-23,30843.0434,30843.0434,23983.1601,24980.7895,YFI
2020-09-27,21812.9856,31604.0624,21812.9856,31604.0624,YFI
2020-09-30,30593.8951,30593.8951,25028.8146,25028.8146,YFI
2020-10-03,23788.971,23788.971,21086.9476,21086.9476,YFI
2020-10-07,18923.8302,19149.6962,16699.6585,16699.6585,YFI
2020-10-11,14779.6329,18147.5407,14779.6329,15985.1524,YFI
2020-10-15,16915.451,16915.451,14548.5703,14548.5703,YFI
2020-10-19,14559.033,15331.4137,13428.0006,15331.4137,YFI
2020-10-23,13935.6701,13935.6701,13106.1848,13609.2612,YFI
2020-10-27,14856.0961,14902.3332,13672.5432,13672.5432,YFI
2020-10-31,13400.9513,13400.9513,10813.3307,11115.6538,YFI
2020-11-03,10486.1592,10645.1263,10074.1588,10074.1588,YFI
2020-11-07,9380.0707,11714.9733,8520.9323,11714.9733,YFI
2020-11-11,14001.0082,18190.1574,14001.0082,18190.1574,YFI
2020-11-15,16693.6779,17938.3347,15451.7731,17242.6961,YFI
2020-11-19,17599.8457,25708.1514,17599.8457,25708.1514,YFI
2020-11-23,27717.3821,27717.3821,24289.243,24409.8043,YFI
2020-11-27,24918.5499,24918.5499,22254.5951,22792.2571,YFI
2020-11-30,23602.9162,24596.866,23399.3244,24596.866,YFI
2020-12-03,26258.5408,30548.6552,25908.1108,30548.6552,YFI
2020-12-07,29659.0457,29659.0457,26766.7601,28760.773,YFI
2020-12-11,28596.6985,28596.6985,24172.5762,24172.5762,YFI
2020-12-15,23454.7389,26336.9673,23454.7389,25832.9956,YFI
2020-12-19,24778.1432,27782.6683,24778.1432,27782.6683,YFI
2020-12-23,27672.7662,27672.7662,24776.3936,24954.005,YFI
2020-12-27,20298.67,23723.9527,20298.67,22559.2565,YFI
2020-12-31,22805.4231,22890.7527,21907.5551,21907.5551,YFI
2021-01-03,22839.5975,22839.5975,21536.6366,21536.6366,YFI
2021-01-07,23916.1575,24829.6006,22981.2483,24829.6006,YFI
2021-01-11,33171.7359,36243.1928,33171.7359,34213.8746,YFI
2021-01-15,30093.9623,33318.0276,29704.3279,32577.8805,YFI
2021-01-19,30206.1569,38043.3014,30206.1569,38043.3014,YFI
2021-01-23,34786.034,34786.034,28125.953,30852.4416,YFI
2021-01-27,30445.4375,32182.533,29453.9339,30226.5056,YFI
2021-01-31,27797.6859,30982.3659,27797.6859,30982.3659,YFI
2021-02-03,30207.802,31740.9078,30207.802,31740.9078,YFI
2021-02-07,33978.4514,33978.4514,31055.4999,31513.2771,YFI
2021-02-11,30789.2723,35967.7685,30789.2723,35967.7685,YFI
2021-02-15,43789.3914,47117.1512,43511.8632,43511.8632,YFI
2021-02-19,40288.6816,44343.283,40288.6816,44343.283,YFI
2021-02-23,45220.7039,45220.7039,39559.5546,39559.5546,YFI
2021-02-27,33314.0697,33763.457,31220.7125,31220.7125,YFI
2021-02-28,31760.3892,34900.3711,30630.5922,33400.6962,YFI
2021-03-07,33881.0253,34162.01,32137.4539,34162.01,YFI
2021-03-11,39081.7838,39946.8194,37896.9864,37896.9864,YFI
2021-03-15,37913.014,38321.8638,35994.9691,36081.1092,YFI
2021-03-19,34534.6644,35851.2662,34534.6644,35851.2662,YFI
2021-03-23,36145.6685,36145.6685,33354.3879,33354.3879,YFI
2021-03-27,33858.9805,33858.9805,31055.1809,33292.9678,YFI
2021-03-31,32668.144,35510.7252,32647.2248,35510.7252,YFI
2021-04-03,36096.6115,39344.732,36096.6115,39344.732,YFI
2021-04-07,35911.467,41788.8819,35911.467,41788.8819,YFI
2021-04-11,44261.8263,47334.347,44261.8263,44776.545,YFI
2021-04-15,45207.6134,47230.6136,43171.512,47230.6136,YFI
2021-04-19,50414.5128,53228.6024,49190.7854,53228.6024,YFI
2021-04-23,47014.204,48876.3499,45660.5862,45677.1869,YFI
2021-04-27,43291.5095,45328.3089,39100.1586,45328.3089,YFI
2021-04-30,48378.7954,48378.7954,46845.3569,46845.3569,YFI
2021-05-03,48905.8125,49781.4795,48386.6118,48386.6118,YFI
2021-05-07,53497.4146,54653.8078,50214.7349,52838.1967,YFI
2021-05-11,53808.5636,61649.6607,53394.2271,61649.6607,YFI
2021-05-15,82070.7575,82070.7575,66564.6679,77849.8442,YFI
2021-05-19,66514.7075,73384.4369,64202.9142,73384.4369,YFI
2021-05-23,46709.8739,51577.8129,38642.0877,38642.0877,YFI
2021-05-27,33003.0064,50026.9677,33003.0064,50026.9677,YFI
2021-05-31,47087.1899,47087.1899,39399.9767,41941.0508,YFI
2021-06-03,46995.1175,46995.1175,45181.549,45387.9672,YFI
2021-06-07,45925.4707,45925.4707,42272.6529,43056.3167,YFI
2021-06-11,40098.1348,40367.4975,37888.7471,37888.7471,YFI
2021-06-15,36838.6709,39491.2218,36469.8436,39491.2218,YFI
2021-06-19,39211.6054,39211.6054,34024.0495,34024.0495,YFI
2021-06-23,33384.8266,36130.3215,28541.8949,28541.8949,YFI
2021-06-27,30965.808,31356.4016,28398.4106,28398.4106,YFI
2021-06-30,30036.1409,33596.2877,30036.1409,33596.2877,YFI
2021-07-03,33825.4595,33825.4595,32145.7506,32145.7506,YFI
2021-07-07,32710.4025,35884.6692,32710.4025,35884.6692,YFI
2021-07-11,35518.7711,35518.7711,33159.8328,33331.8612,YFI
2021-07-15,33788.5356,33788.5356,31582.6026,31582.6026,YFI
2021-07-19,29951.533,29951.533,27611.8167,28199.4805,YFI
2021-07-23,27065.2444,28604.6691,26016.77,28604.6691,YFI
2021-07-27,29365.9257,30218.7577,29365.9257,29878.0251,YFI
2021-07-31,29524.2321,31341.9975,29524.2321,31341.9975,YFI
2021-08-03,33354.8523,33354.8523,31736.4883,32074.8966,YFI
2021-08-07,32037.2888,33107.1351,32037.2888,33045.4538,YFI
2021-08-11,34642.5715,34929.1683,32694.6608,34929.1683,YFI
2021-08-15,37830.3589,40070.6763,36938.6411,39598.9954,YFI
2021-08-19,39810.847,39810.847,37400.6534,37400.6534,YFI
2021-08-23,38637.291,39547.9478,38637.291,39495.1033,YFI
2021-08-27,39988.6829,39988.6829,36642.07,36642.07,YFI
2021-08-31,37775.7353,38045.5041,36285.1213,36285.1213,YFI
2021-09-03,38490.7483,40058.2723,38490.7483,38798.6552,YFI
2021-09-07,40290.9885,42923.239,40290.9885,42343.1503,YFI
2021-09-11,34847.0946,34847.0946,32785.1131,32785.1131,YFI
2021-09-15,32987.7546,35553.8178,32933.4762,35553.8178,YFI
2021-09-19,36472.3899,36472.3899,33259.7402,33901.6698,YFI
2021-09-23,33038.9189,33038.9189,27137.01,30435.6124,YFI
2021-09-27,31303.8232,31303.8232,29173.5242,30428.7558,YFI
2021-09-30,28689.3532,28689.3532,28187.7759,28670.8668,YFI
2021-10-03,29191.5379,32107.6166,29191.5379,32107.6166,YFI
2021-10-07,31442.8903,32194.4119,30746.6243,32194.4119,YFI
2021-10-11,32147.1124,34595.9496,32147.1124,32685.3817,YFI
2021-10-15,35402.4733,35402.4733,34585.7585,35234.659,YFI
2021-10-19,36202.179,36202.179,33830.1658,33830.1658,YFI
2021-10-23,34759.2645,36001.0424,34326.4844,34758.4121,YFI
2021-10-27,35929.7591,37544.0058,34623.8576,37544.0058,YFI
